Title :  PageRank
    web_site  pagerank
0        144  0.036041
1        545  0.030450
2        933  0.028463
3        838  0.019343
4        600  0.014146
5        476  0.012970
6        238  0.006895
7        328  0.006749
8        164  0.006516
9        767  0.006516
10       128  0.006452
11       851  0.006452
12       287  0.005923
13       319  0.005649
14       917  0.004446
15       740  0.004272
16       801  0.004102
17       653  0.003795
18       518  0.003758
19       670  0.003702
20        90  0.003698
21       720  0.003681
22       921  0.003554
23       337  0.003357
24        81  0.003333
25       766  0.003190
26        53  0.003123
27       843  0.003007
28       807  0.003005
29       870  0.002974
30       221  0.002960
31        14  0.002943
32       624  0.002934
33       753  0.002902
34        73  0.002804
35       867  0.002663
36       472  0.002655
37       780  0.002639
38        34  0.002606
39       251  0.002559
40       124  0.002525
41        40  0.002522
42       837  0.002515
43       677  0.002504
44       351  0.002425
45       369  0.002416
46       273  0.002413
47       486  0.002398
48       157  0.002384
49       840  0.002319
50       976  0.002306
51       512  0.002293
52       450  0.002291
53       606  0.002279
54       122  0.002262
55       928  0.002257
56       751  0.002242
57       709  0.002238
58        50  0.002224
59       964  0.002215
60       763  0.002194
61       280  0.002125
62       821  0.002121
63       770  0.002118
64       594  0.002090
65       310  0.002080
66       488  0.002055
67       168  0.002027
68       147  0.002021
69       672  0.002015
70       604  0.002012
71       466  0.002010
72       834  0.002003
73       872  0.001985
74       259  0.001984
75       626  0.001977
76       341  0.001974
77       543  0.001963
78        59  0.001945
79       669  0.001941
80       424  0.001932
81       398  0.001901
82       546  0.001891
83       877  0.001866
84       380  0.001845
85       660  0.001843
86        38  0.001834
87       378  0.001813
88         3  0.001813
89       640  0.001809
90       391  0.001801
91       949  0.001731
92       181  0.001722
93       804  0.001720
94       241  0.001678
95       955  0.001677
96       433  0.001669
97       573  0.001663
98       747  0.001663
99       752  0.001663
100      370  0.001663
101      215  0.001663
102       72  0.001663
103      142  0.001663
104      112  0.001663
105      354  0.001654
106      894  0.001632
107       52  0.001626
108      266  0.001591
109      135  0.001588
110      986  0.001585
111      956  0.001553
112      954  0.001537
113      350  0.001537
114      508  0.001532
115      172  0.001530
116      738  0.001502
117      847  0.001502
118      474  0.001497
119      399  0.001497
120      887  0.001497
121      731  0.001497
122       68  0.001497
123      390  0.001497
124      517  0.001497
125      291  0.001497
126      552  0.001497
127      491  0.001497
128      835  0.001497
129      562  0.001497
130      189  0.001497
131      480  0.001497
132      325  0.001497
133      849  0.001497
134      987  0.001497
135      334  0.001497
136      682  0.001497
137      909  0.001497
138      745  0.001480
139      504  0.001474
140        2  0.001448
141      637  0.001448
142      213  0.001443
143      522  0.001437
144      220  0.001415
145      704  0.001406
146      875  0.001401
147      282  0.001375
148      768  0.001374
149      957  0.001374
150      790  0.001374
151      769  0.001374
152      188  0.001374
153      675  0.001374
154      267  0.001374
155      667  0.001374
156      622  0.001374
157      601  0.001374
158      555  0.001359
159      322  0.001335
160      169  0.001335
161      114  0.001335
162       16  0.001323
163      980  0.001323
164      876  0.001315
165      836  0.001313
166      507  0.001307
167      442  0.001289
168      719  0.001283
169      613  0.001264
170      830  0.001264
171      879  0.001264
172      683  0.001264
173      712  0.001263
174      966  0.001245
175      402  0.001227
176      180  0.001222
177      106  0.001219
178      133  0.001214
179      991  0.001208
180      732  0.001206
181      420  0.001206
182      663  0.001203
183      776  0.001201
184      889  0.001190
185      901  0.001186
186      347  0.001152
187      896  0.001145
188      681  0.001135
189      306  0.001120
190       58  0.001118
191      232  0.001112
192      953  0.001111
193      348  0.001091
194      296  0.001088
195      167  0.001088
196      728  0.001088
197      646  0.001061
198      983  0.001060
199      614  0.001059
200      456  0.001058
201      494  0.001042
202      362  0.001039
203       78  0.001038
204       28  0.001032
205      130  0.001028
206      993  0.001017
207       99  0.001012
208      691  0.001012
209      444  0.001012
210      678  0.001012
211      570  0.001012
212      862  0.001000
213      392  0.000995
214      868  0.000985
215      209  0.000983
216      302  0.000973
217      557  0.000969
218       85  0.000967
219      930  0.000967
220      408  0.000967
221      284  0.000967
222      795  0.000967
223       54  0.000967
224      178  0.000967
225      468  0.000967
226      464  0.000967
227      190  0.000964
228       79  0.000958
229      811  0.000958
230      539  0.000958
231      564  0.000958
232      150  0.000958
233      197  0.000958
234      279  0.000956
235      803  0.000952
236      175  0.000946
237      469  0.000945
238      103  0.000941
239      729  0.000936
240      204  0.000935
241      478  0.000932
242      864  0.000930
243      356  0.000928
244      816  0.000927
245       44  0.000925
246      542  0.000919
247      352  0.000919
248      632  0.000919
249      372  0.000915
250      308  0.000915
251      387  0.000911
252       43  0.000907
253       21  0.000903
254      376  0.000902
255      379  0.000899
256      307  0.000898
257        8  0.000898
258      225  0.000898
259      650  0.000896
260      141  0.000895
261      526  0.000894
262      403  0.000894
263      910  0.000894
264      912  0.000894
265      300  0.000894
266      693  0.000893
267      815  0.000889
268      798  0.000888
269      702  0.000887
270       48  0.000887
271      934  0.000887
272      947  0.000887
273      979  0.000887
274      550  0.000887
275      595  0.000887
276      948  0.000887
277      696  0.000887
278      589  0.000887
279      665  0.000887
280      214  0.000885
281      711  0.000885
282      333  0.000885
283       29  0.000884
284      997  0.000880
285      123  0.000879
286      394  0.000879
287      888  0.000879
288      375  0.000879
289      427  0.000879
290      754  0.000875
291      311  0.000875
292      701  0.000872
293      577  0.000870
294      340  0.000869
295       66  0.000869
296      443  0.000869
297      413  0.000868
298      435  0.000868
299      515  0.000867
300       84  0.000864
301      609  0.000864
302        4  0.000864
303      735  0.000863
304      962  0.000861
305      396  0.000861
306      621  0.000857
307        5  0.000857
308      463  0.000857
309      615  0.000855
310      787  0.000853
311      438  0.000851
312      490  0.000850
313      554  0.000841
314      591  0.000834
315      198  0.000832
316      714  0.000831
317      258  0.000831
318      582  0.000828
319      206  0.000827
320      156  0.000827
321      723  0.000827
322      703  0.000827
323      414  0.000827
324       67  0.000823
325      294  0.000823
326      944  0.000817
327       35  0.000808
328      110  0.000806
329      454  0.000806
330      610  0.000806
331       42  0.000798
332      145  0.000798
333      509  0.000783
334      440  0.000783
335      162  0.000782
336      907  0.000777
337      492  0.000771
338       24  0.000769
339      823  0.000769
340      482  0.000757
341      739  0.000757
342      914  0.000753
343      628  0.000743
344      580  0.000743
345      182  0.000742
346      318  0.000742
347      992  0.000741
348      139  0.000734
349      265  0.000734
350      234  0.000725
351      620  0.000722
352      673  0.000722
353      634  0.000722
354      611  0.000722
355      639  0.000722
356      619  0.000722
357      689  0.000722
358        1  0.000722
359      779  0.000722
360      718  0.000722
361       95  0.000722
362      759  0.000722
363       93  0.000722
364      757  0.000722
365       46  0.000722
366      812  0.000722
367      138  0.000722
368      748  0.000722
369       17  0.000722
370      774  0.000722
371       87  0.000722
372      825  0.000722
373      791  0.000722
374      805  0.000722
375      721  0.000722
376       11  0.000722
377       75  0.000722
378      846  0.000722
379      705  0.000722
380      781  0.000722
381      786  0.000722
382      706  0.000722
383       64  0.000722
384      708  0.000722
385        9  0.000722
386       32  0.000722
387      716  0.000722
388      839  0.000722
389       62  0.000722
390      239  0.000722
391      418  0.000722
392      567  0.000722
393      893  0.000722
394      973  0.000722
395      231  0.000722
396      425  0.000722
397      530  0.000722
398      544  0.000722
399      529  0.000722
400      429  0.000722
401      892  0.000722
402      431  0.000722
403      432  0.000722
404      473  0.000722
405      248  0.000722
406      211  0.000722
407      881  0.000722
408      205  0.000722
409      873  0.000722
410      958  0.000722
411      863  0.000722
412      436  0.000722
413      598  0.000722
414      951  0.000722
415      274  0.000722
416      358  0.000722
417      943  0.000722
418      932  0.000722
419      506  0.000722
420      321  0.000722
421      929  0.000722
422      381  0.000722
423      297  0.000722
424      950  0.000722
425      926  0.000722
426      388  0.000722
427      485  0.000722
428      278  0.000722
429      586  0.000722
430      397  0.000722
431      916  0.000722
432      410  0.000722
433      906  0.000722
434      253  0.000722
435      985  0.000722
436      174  0.000722
437      458  0.000722
438      268  0.000722
439      493  0.000722
440      269  0.000722
441      270  0.000722
442      271  0.000722
443      908  0.000721
444      999  0.000719
445      860  0.000710
446      883  0.000709
447      511  0.000709
448      922  0.000709
449      131  0.000708
450       70  0.000708
451      227  0.000708
452      382  0.000708
453      760  0.000708
454      687  0.000707
455      871  0.000702
456      327  0.000690
457      859  0.000690
458       20  0.000689
459      599  0.000677
460      479  0.000677
461      571  0.000676
462      423  0.000676
463      409  0.000675
464      895  0.000670
465      252  0.000670
466      616  0.000668
467      592  0.000667
468      193  0.000667
469      290  0.000667
470      404  0.000662
471      455  0.000662
472      233  0.000654
473      772  0.000652
474      749  0.000646
475      975  0.000646
476      285  0.000646
477      822  0.000646
478      155  0.000646
479      525  0.000643
480      630  0.000643
481      393  0.000642
482      631  0.000642
483      850  0.000642
484      797  0.000642
485      514  0.000641
486      810  0.000641
487      891  0.000641
488      911  0.000639
489      519  0.000639
490      137  0.000636
491      186  0.000636
492      451  0.000631
493        7  0.000631
494      882  0.000631
495      854  0.000631
496      120  0.000631
497      129  0.000631
498       97  0.000629
499      700  0.000626
500      707  0.000626
501      852  0.000622
502      925  0.000619
503      538  0.000619
504      326  0.000619
505      434  0.000619
506      967  0.000619
507      149  0.000619
508      578  0.000619
509      553  0.000614
510      534  0.000614
511      559  0.000614
512      547  0.000614
513      359  0.000614
514      635  0.000614
515      415  0.000614
516      686  0.000614
517      684  0.000614
518      335  0.000614
519      332  0.000614
