        code  market            name                                 sector
0     060310  KOSDAQ              3S                          특수목적기계제조
1     095570   KOSPI          AJ네트웍스                        산업기계임대
2     006840   KOSPI           AK홀딩스                                 금융
3     054620  KOSDAQ          APS홀딩스                                 금융
4     265520  KOSDAQ           AP시스템                          특수목적기계제조
5     211270  KOSDAQ            AP위성                         통신방송
6     027410   KOSPI             BGF                                 금융
7     282330   KOSPI          BGF리테일                                 소매
8     138930   KOSPI         BNK금융지주                                 금융
9     001460   KOSPI             BYC                               의복제조
10    001040   KOSPI              CJ                                 금융
11    079160   KOSPI          CJ CGV              영상배급
12    035760  KOSDAQ          CJ ENM                               방송
13    000120   KOSPI          CJ대한통운                              화물운송
14    011150   KOSPI           CJ씨푸드                              식품제조
15    097950   KOSPI          CJ제일제당                              식품제조
16    051500  KOSDAQ         CJ프레시웨이                         음식담배도매
17    058820  KOSDAQ           CMG제약                                바이오
18    023460  KOSDAQ             CNH                            금융
19    065770  KOSDAQ              CS                         통신방송
20    083660  KOSDAQ         CSA 코스믹                            화학제품제조
21    000590   KOSPI           CS홀딩스                                 금융
22    012030   KOSPI              DB                IT
23    367340  KOSDAQ        DB금융스팩8호                                 금융
24    016610   KOSPI          DB금융투자                             금융
25    005830   KOSPI          DB손해보험                                    보험
26    000990   KOSPI           DB하이텍                                반도체
27    139130   KOSPI         DGB금융지주                                 금융
28    001530   KOSPI            DI동일                                 상품중개
29    068790  KOSDAQ             DMS                          특수목적기계제조
30    004840   KOSPI           DRB동일                                 금융
31    241520  KOSDAQ       DSC인베스트먼트                            금융
32    155660   KOSPI             DSR                            금속제조
33    069730   KOSPI           DSR제강                              철강제조
34    017940   KOSPI              E1                              전문도매
35    245620  KOSDAQ            EDGC                        바이오
36    037370  KOSDAQ              EG                              전문도매
37    079190  KOSDAQ             EMW                         통신방송
38    365550   KOSPI      ESR켄달스퀘어리츠                           부동산
39    007700   KOSPI             F&F                               의복제조
40    130500  KOSDAQ           GH신소재                            섬유제조
41    114090   KOSPI             GKL                     오락
42    900290  KOSDAQ             GRT                                 금융
43    078930   KOSPI              GS                                 금융
44    083450  KOSDAQ             GST                          특수목적기계제조
45    006360   KOSPI            GS건설                                 건설
46    001250   KOSPI           GS글로벌                              도매업
47    007070   KOSPI           GS리테일                                 소매
48    028150  KOSDAQ           GS홈쇼핑                               방송
49    045890  KOSDAQ              GV                          조명장치
50    078150  KOSDAQ         HB테크놀러지                          특수목적기계제조
51    012630   KOSPI             HDC                                 금융
52    039570   KOSPI       HDC아이콘트롤스                            전기통신공사
53    089470   KOSPI         HDC현대EP                            화학제품제조
54    294870   KOSPI       HDC현대산업개발                                 건설
55    011200   KOSPI             HMM                                 해상운송
56    036640  KOSDAQ             HRS                     화학제조
57    082740   KOSPI           HSD엔진                          기계제조
58    335870  KOSDAQ      IBKS제12호스팩                             금융
59    351340  KOSDAQ      IBKS제13호스팩                             금융
60    351320  KOSDAQ      IBKS제14호스팩                                 금융
61    003560   KOSPI             IHQ              영상배급
62    095340  KOSDAQ             ISC                               전자부품
63    099520  KOSDAQ          ITX-AI                          영상음향기기
64    175330   KOSPI          JB금융지주                                 금융
65    950170  KOSDAQ             JTC                                 소매
66    234080   KOSPI          JW생명과학                                바이오
67    067290  KOSDAQ            JW신약                                바이오
68    001060   KOSPI          JW중외제약                                바이오
69    096760   KOSPI           JW홀딩스                                 금융
70    035900  KOSDAQ        JYP Ent.                       엔터테인먼트
71    024840  KOSDAQ           KBI메탈                            금속제조
72    105560   KOSPI            KB금융                                 금융
73    024120  KOSDAQ          KB오토시스                          자동차
74    002380   KOSPI             KCC                            화학제품제조
75    021320  KOSDAQ           KCC건설                                 건설
76    036670  KOSDAQ             KCI                            화학제품제조
77    009070   KOSPI            KCTC                              화물운송
78    009440   KOSPI         KC그린홀딩스                                 금융
79    119650   KOSPI           KC코트렐                          기계제조
80    044180  KOSDAQ              KD                                 건설
81    092220   KOSPI             KEC                                반도체
82    151860  KOSDAQ          KG ETS                                폐기물처리
83    016380   KOSPI          KG동부제철                              철강제조
84    046440  KOSDAQ         KG모빌리언스                         IT
85    035600  KOSDAQ          KG이니시스                         IT
86    001390   KOSPI           KG케미칼                            기초화학물질
87    060720  KOSDAQ            KH바텍                               전자부품
88    001940   KOSPI        KISCO홀딩스                              철강제조
89    122450  KOSDAQ             KMH                               방송
90    052900  KOSDAQ          KMH하이텍                             플라스틱제조
91    058400  KOSDAQ             KNN                               방송
92    114450  KOSDAQ         KPX생명과학                  바이오
93    025000   KOSPI          KPX케미칼                            기초화학물질
94    092230   KOSPI          KPX홀딩스                            기초화학물질
95    000040   KOSPI           KR모터스                         운송장비제조
96    044450   KOSPI           KSS해운                                 해상운송
97    030200   KOSPI              KT                                 통신
98    033780   KOSPI            KT&G                                 담배제조
99    030210   KOSPI         KTB투자증권                             금융
100   036030  KOSDAQ             KTH                                 상품중개
101   058850   KOSPI            KTcs                             IT
102   058860   KOSPI            KTis                             IT
103   060370  KOSDAQ          KT서브마린                            전기통신공사
104   093050   KOSPI              LF                               의복제조
105   003550   KOSPI              LG                                 금융
