       code  ratio  ratio_price
0    344050   1.01         0.99
1    049830   1.02         0.99
2    273060   1.03         0.99
3    080010   1.03         0.99
4    007110   1.03         0.99
5    005990   1.03         0.99
6    006570   1.03         0.99
7    334890   1.04         0.99
8    086220   1.04         0.98
9    006980   1.04         0.99
10   035600   1.04         0.99
11   002360   1.04         0.99
12   267980   1.04         0.99
13   001200   1.04         0.99
14   054050   1.04         0.99
15   072020   1.04         0.98
16   092130   1.04         0.98
17   071840   1.04         0.98
18   280360   1.04         0.99
19   024110   1.04         0.99
20   028100   1.04         0.98
21   001420   1.04         0.99
22   052330   1.04         0.99
23   039560   1.04         0.98
24   054410   1.04         0.98
25   181710   1.04         0.99
26   357250   1.04         0.99
27   079650   1.04         0.99
28   215000   1.04         0.99
29   268280   1.04         0.99
30   037760   1.04         0.97
31   000970   1.04         0.99
32   001740   1.04         0.99
33   016710   1.04         0.99
34   126560   1.04         0.99
35   001750   1.05         0.98
36   024900   1.05         0.99
37   177350   1.05         0.98
38   024950   1.05         0.98
39   065450   1.05         0.97
40   005870   1.05         0.99
41   038870   1.05         0.99
42   014440   1.05         0.99
43   036480   1.05         0.99
44   005710   1.05         0.98
45   317850   1.05         0.99
46   317320   1.05         0.99
47   045390   1.05         0.99
48   139130   1.05         0.99
49   002880   1.05         0.99
50   068400   1.05         0.99
51   003540   1.05         0.98
52   128820   1.05         0.99
53   073240   1.05         0.98
54   016740   1.05         0.99
55   099750   1.05         0.99
56   101060   1.05         0.99
57   030610   1.05         0.97
58   092300   1.05         0.98
59   173940   1.05         0.99
60   131180   1.05         0.99
61   034310   1.05         0.98
62   038950   1.05         0.99
63   092440   1.05         0.99
64   002920   1.05         0.99
65   139480   1.05         0.99
66   007700   1.05         0.99
67   004990   1.05         0.99
68   338100   1.05         0.99
69   316140   1.05         0.99
70   124500   1.05         0.99
71   005860   1.05         0.98
72   115390   1.05         0.99
73   072950   1.05         0.98
74   003680   1.05         0.99
75   034940   1.05         0.99
76   094940   1.05         0.99
77   045060   1.06         0.99
78   053580   1.06         0.98
79   024120   1.06         0.98
80   327610   1.06         0.98
81   016790   1.06         0.97
82   169330   1.06         0.99
83   036120   1.06         0.98
84   053050   1.06         0.97
85   201490   1.06         0.99
86   035720   1.06         0.98
87   126880   1.06         0.99
88   023530   1.06         0.98
89   214680   1.06         0.97
90   093520   1.06         0.99
91   035420   1.06         0.99
92   065710   1.06         0.99
93   084180   1.06         0.98
94   241710   1.06         0.98
95   220180   1.06         0.99
96   058970   1.06         0.96
97   043220   1.06         0.98
98   255220   1.06         0.99
99   115960   1.06         0.98
100  004440   1.06         0.99
101  228340   1.06         0.97
102  004310   1.06         0.99
103  071200   1.06         0.98
104  033340   1.06         0.97
105  251270   1.06         0.98
106  002700   1.06         0.99
107  003010   1.06         0.97
108  307180   1.06         0.97
109  018250   1.06         0.99
110  204210   1.06         0.98
111  293940   1.06         0.99
112  080000   1.06         0.98
113  035460   1.06         0.96
114  071670   1.06         0.99
115  043150   1.06         0.99
116  347740   1.07         0.98
117  054300   1.07         0.96
118  011390   1.07         0.99
119  013700   1.07         0.99
120  130580   1.07         0.98
121  204270   1.07         0.98
122  000430   1.07         0.99
123  001340   1.07         0.97
124  062860   1.07         0.97
125  120030   1.07         0.98
126  022220   1.07         0.99
127  052400   1.07         0.97
128  270520   1.07         0.99
129  084680   1.07         0.98
130  081150   1.07         0.98
131  078140   1.07         0.98
132  035250   1.07         0.99
133  311690   1.07         0.97
134  033530   1.07         0.99
135  002720   1.07         0.98
136  007370   1.07         0.98
137  039340   1.07         0.98
138  003800   1.07         0.98
139  126600   1.07         0.98
140  038290   1.07         0.99
141  087260   1.07         0.98
142  006060   1.07         0.97
143  214150   1.07         0.99
144  015590   1.07         0.98
145  001720   1.07         0.99
146  036710   1.07         0.98
147  021650   1.07         0.98
148  041510   1.07         0.97
149  119850   1.07         0.99
150  069960   1.07         0.98
151  009970   1.07         0.99
152  093640   1.07         0.98
153  104200   1.07         0.97
154  011300   1.07         0.98
155  001460   1.07         0.99
156  009450   1.07         0.99
157  053270   1.07         0.97
158  019590   1.07         0.99
159  041830   1.07         0.99
160  030960   1.07         0.98
161  002100   1.07         0.98
162  005610   1.07         0.98
163  050860   1.07         0.99
164  065690   1.07         0.99
165  012610   1.07         0.98
166  163560   1.07         0.99
167  274090   1.07         0.97
168  042660   1.07         0.98
169  095910   1.07         0.99
170  100590   1.07         0.98
171  003470   1.07         0.96
172  025980   1.07         0.98
173  011370   1.08         0.98
174  187790   1.08         0.97
175  082920   1.08         0.96
176  016100   1.08         0.97
177  064260   1.08         0.98
178  017250   1.08         0.95
179  332370   1.08         0.99
180  007660   1.08         0.97
181  095190   1.08         0.99
182  136510   1.08         0.97
183  068240   1.08         0.97
184  293490   1.08         0.96
185  005390   1.08         0.98
186  001140   1.08         0.99
187  000910   1.08         0.98
188  064240   1.08         0.97
189  008970   1.08         0.99
190  016600   1.08         0.97
191  035080   1.08         0.98
192  054040   1.08         0.98
193  145720   1.08         0.98
194  063570   1.08         0.97
195  133820   1.08         0.96
196  039290   1.08         0.98
197  059210   1.08         0.99
198  096350   1.08         0.97
199  091970   1.08         0.99
200  014620   1.08         0.99
201  031510   1.08         0.98
202  004770   1.08         0.98
203  003230   1.08         0.99
204  011170   1.08         0.95
205  009520   1.08         0.99
206  105560   1.08         0.96
207  012690   1.08         0.99
208  025560   1.08         0.98
209  190510   1.08         0.99
210  203650   1.08         0.96
211  305090   1.08         0.98
212  006910   1.08         0.97
213  053110   1.08         0.97
214  208370   1.08         0.97
215  337930   1.08         0.97
216  250060   1.08         0.98
217  164060   1.08         0.99
218  055550   1.08         0.98
219  014910   1.08         0.97
220  047770   1.08         0.97
221  196700   1.08         0.98
222  045970   1.08         0.97
223  011930   1.08         0.98
224  058730   1.08         0.97
225  066430   1.08         0.96
226  004920   1.08         0.99
227  003100   1.08         0.98
228  320000   1.08         0.99
229  006040   1.08         0.99
230  062970   1.08         0.97
231  060980   1.08         0.99
232  025890   1.08         0.98
233  011700   1.08         0.96
234  140410   1.08         0.99
235  298050   1.08         0.99
236  317870   1.09         0.97
237  047080   1.09         0.97
238  097870   1.09         0.98
239  053700   1.09         0.98
240  009320   1.09         0.98
241  225530   1.09         0.99
242  037070   1.09         0.99
243  028050   1.09         0.96
244  215200   1.09         0.97
245  079810   1.09         0.97
