            날짜        종가      전일비        시가        고가        저가       거래량
0          NaN       NaN      NaN       NaN       NaN       NaN       NaN
1   2020.12.30  814000.0   1000.0  813000.0  816000.0  805000.0   84068.0
2   2020.12.29  813000.0   1000.0  817000.0  827000.0  805000.0  392849.0
3   2020.12.28  814000.0   4000.0  818000.0  824000.0  807000.0  264888.0
4   2020.12.24  818000.0  12000.0  810000.0  822000.0  802000.0  335065.0
5   2020.12.23  806000.0   9000.0  802000.0  830000.0  777000.0  594211.0
6          NaN       NaN      NaN       NaN       NaN       NaN       NaN
7          NaN       NaN      NaN       NaN       NaN       NaN       NaN
8          NaN       NaN      NaN       NaN       NaN       NaN       NaN
9   2020.12.22  797000.0  18000.0  815000.0  816000.0  796000.0  306523.0
10  2020.12.21  815000.0   1000.0  819000.0  823000.0  809000.0  284091.0
11  2020.12.18  814000.0  16000.0  831000.0  832000.0  806000.0  353819.0
12  2020.12.17  830000.0  11000.0  823000.0  830000.0  811000.0  319523.0
13  2020.12.16  819000.0  18000.0  812000.0  822000.0  808000.0  321381.0
14         NaN       NaN      NaN       NaN       NaN       NaN       NaN
