code,market,name,sector
060310,KOSDAQ,3S,기계제조
095570,KOSPI,AJ네트웍스,산업기계
006840,KOSPI,AK홀딩스,금융
265520,KOSDAQ,AP시스템,기계제조
211270,KOSDAQ,AP위성,통신방송
027410,KOSPI,BGF,금융
282330,KOSPI,BGF리테일,소매업
138930,KOSPI,BNK금융지주,금융
001460,KOSPI,BYC,의류
001040,KOSPI,CJ,금융
079160,KOSPI,CJ CGV,영상배급
035760,KOSDAQ,CJ ENM,방송업
000120,KOSPI,CJ대한통운,화물운송
011150,KOSPI,CJ씨푸드,식품제조
097950,KOSPI,CJ제일제당,식품제조
051500,KOSDAQ,CJ프레시웨이,음식도매
065770,KOSDAQ,CS,통신방송
000590,KOSPI,CS홀딩스,금융
012030,KOSPI,DB,IT
016610,KOSPI,DB금융투자,금융
005830,KOSPI,DB손해보험,보험업
000990,KOSPI,DB하이텍,반도체
139130,KOSPI,DGB금융지주,금융
001530,KOSPI,DI동일,중개업
068790,KOSDAQ,DMS,기계제조
004840,KOSPI,DRB동일,금융
155660,KOSPI,DSR,철강
069730,KOSPI,DSR제강,철강
017940,KOSPI,E1,도매업
037370,KOSDAQ,EG,도매업
079190,KOSDAQ,EMW,통신방송
365550,KOSPI,ESR켄달스퀘어리츠,부동산
007700,KOSPI,F&F,의류
130500,KOSDAQ,GH신소재,의류
114090,KOSPI,GKL,유흥
078930,KOSPI,GS,금융
083450,KOSDAQ,GST,기계제조
006360,KOSPI,GS건설,건설주
001250,KOSPI,GS글로벌,도매업
007070,KOSPI,GS리테일,소매업
028150,KOSDAQ,GS홈쇼핑,방송업
045890,KOSDAQ,GV,조명장치
078150,KOSDAQ,HB테크놀러지,기계제조
012630,KOSPI,HDC,금융
039570,KOSPI,HDC아이콘트롤스,전기통신업
089470,KOSPI,HDC현대EP,화학
294870,KOSPI,HDC현대산업개발,건설주
011200,KOSPI,HMM,해상운송
082740,KOSPI,HSD엔진,기계
003560,KOSPI,IHQ,영상배급
095340,KOSDAQ,ISC,전자
099520,KOSDAQ,ITX-AI,영상음향
175330,KOSPI,JB금융지주,금융
950170,KOSDAQ,JTC,소매업
096760,KOSPI,JW홀딩스,금융
035900,KOSDAQ,JYP Ent.,엔터테인먼트
024840,KOSDAQ,KBI메탈,철강
105560,KOSPI,KB금융,금융
024120,KOSDAQ,KB오토시스,자동차
002380,KOSPI,KCC,화학
021320,KOSDAQ,KCC건설,건설주
009070,KOSPI,KCTC,화물운송
009440,KOSPI,KC그린홀딩스,금융
119650,KOSPI,KC코트렐,기계
044180,KOSDAQ,KD,건설주
092220,KOSPI,KEC,반도체
151860,KOSDAQ,KG ETS,폐기물 처리업
016380,KOSPI,KG동부제철,철강
046440,KOSDAQ,KG모빌리언스,IT
035600,KOSDAQ,KG이니시스,IT
001390,KOSPI,KG케미칼,화학
060720,KOSDAQ,KH바텍,전자
001940,KOSPI,KISCO홀딩스,철강
122450,KOSDAQ,KMH,방송업
058400,KOSDAQ,KNN,방송업
025000,KOSPI,KPX케미칼,화학
092230,KOSPI,KPX홀딩스,화학
000040,KOSPI,KR모터스,운송
044450,KOSPI,KSS해운,해상운송
030200,KOSPI,KT,전기통신
033780,KOSPI,KT&G,담배
