	code	market	name	sector
0	060310	KOSDAQ	3S	특수 목적용 기계 제조업
1	095570	KOSPI	AJ네트웍스	산업용 기계 및 장비 임대업
2	006840	KOSPI	AK홀딩스	기타 금융업
3	054620	KOSDAQ	APS홀딩스	기타 금융업
4	265520	KOSDAQ	AP시스템	특수 목적용 기계 제조업
5	211270	KOSDAQ	AP위성	통신 및 방송 장비 제조업
6	027410	KOSPI	BGF	기타 금융업
7	282330	KOSPI	BGF리테일	종합 소매업
8	138930	KOSPI	BNK금융지주	기타 금융업
9	001460	KOSPI	BYC	봉제의복 제조업
10	001040	KOSPI	CJ	기타 금융업
11	079160	KOSPI	CJ CGV	"영화, 비디오물, 방송프로그램 제작 및 배급업"
12	035760	KOSDAQ	CJ ENM	텔레비전 방송업
13	000120	KOSPI	CJ대한통운	도로 화물 운송업
14	011150	KOSPI	CJ씨푸드	기타 식품 제조업
15	097950	KOSPI	CJ제일제당	기타 식품 제조업
16	051500	KOSDAQ	CJ프레시웨이	음·식료품 및 담배 도매업
17	058820	KOSDAQ	CMG제약	의약품 제조업
18	023460	KOSDAQ	CNH	신탁업 및 집합투자업
19	065770	KOSDAQ	CS	통신 및 방송 장비 제조업
20	083660	KOSDAQ	CSA 코스믹	기타 화학제품 제조업
21	000590	KOSPI	CS홀딩스	기타 금융업
22	012030	KOSPI	DB	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
23	367340	KOSDAQ	DB금융스팩8호	기타 금융업
24	016610	KOSPI	DB금융투자	금융 지원 서비스업
25	005830	KOSPI	DB손해보험	보험업
26	000990	KOSPI	DB하이텍	반도체 제조업
27	139130	KOSPI	DGB금융지주	기타 금융업
28	001530	KOSPI	DI동일	상품 중개업
29	068790	KOSDAQ	DMS	특수 목적용 기계 제조업
30	004840	KOSPI	DRB동일	기타 금융업
31	241520	KOSDAQ	DSC인베스트먼트	신탁업 및 집합투자업
32	155660	KOSPI	DSR	1차 비철금속 제조업
33	069730	KOSPI	DSR제강	1차 철강 제조업
34	017940	KOSPI	E1	기타 전문 도매업
35	245620	KOSDAQ	EDGC	자연과학 및 공학 연구개발업
36	037370	KOSDAQ	EG	기타 전문 도매업
37	079190	KOSDAQ	EMW	통신 및 방송 장비 제조업
38	365550	KOSPI	ESR켄달스퀘어리츠	부동산 임대 및 공급업
39	007700	KOSPI	F&F	봉제의복 제조업
40	130500	KOSDAQ	GH신소재	기타 섬유제품 제조업
41	114090	KOSPI	GKL	유원지 및 기타 오락관련 서비스업
42	900290	KOSDAQ	GRT	기타 금융업
43	078930	KOSPI	GS	기타 금융업
44	083450	KOSDAQ	GST	특수 목적용 기계 제조업
45	006360	KOSPI	GS건설	건물 건설업
46	001250	KOSPI	GS글로벌	상품 종합 도매업
47	007070	KOSPI	GS리테일	종합 소매업
48	028150	KOSDAQ	GS홈쇼핑	텔레비전 방송업
49	045890	KOSDAQ	GV	전구 및 조명장치 제조업
50	078150	KOSDAQ	HB테크놀러지	특수 목적용 기계 제조업
51	012630	KOSPI	HDC	기타 금융업
52	039570	KOSPI	HDC아이콘트롤스	전기 및 통신 공사업
53	089470	KOSPI	HDC현대EP	기타 화학제품 제조업
54	294870	KOSPI	HDC현대산업개발	건물 건설업
55	011200	KOSPI	HMM	해상 운송업
56	036640	KOSDAQ	HRS	합성고무 및 플라스틱 물질 제조업
57	082740	KOSPI	HSD엔진	일반 목적용 기계 제조업
58	335870	KOSDAQ	IBKS제12호스팩	금융 지원 서비스업
59	351340	KOSDAQ	IBKS제13호스팩	금융 지원 서비스업
60	351320	KOSDAQ	IBKS제14호스팩	기타 금융업
61	003560	KOSPI	IHQ	"영화, 비디오물, 방송프로그램 제작 및 배급업"
62	095340	KOSDAQ	ISC	전자부품 제조업
63	099520	KOSDAQ	ITX-AI	영상 및 음향기기 제조업
64	175330	KOSPI	JB금융지주	기타 금융업
65	950170	KOSDAQ	JTC	종합 소매업
66	234080	KOSPI	JW생명과학	의약품 제조업
67	067290	KOSDAQ	JW신약	의약품 제조업
68	001060	KOSPI	JW중외제약	의약품 제조업
69	096760	KOSPI	JW홀딩스	기타 금융업
70	035900	KOSDAQ	JYP Ent.	오디오물 출판 및 원판 녹음업
71	024840	KOSDAQ	KBI메탈	1차 비철금속 제조업
72	105560	KOSPI	KB금융	기타 금융업
73	024120	KOSDAQ	KB오토시스	자동차 신품 부품 제조업
74	002380	KOSPI	KCC	기타 화학제품 제조업
75	021320	KOSDAQ	KCC건설	건물 건설업
76	036670	KOSDAQ	KCI	기타 화학제품 제조업
77	009070	KOSPI	KCTC	도로 화물 운송업
78	009440	KOSPI	KC그린홀딩스	기타 금융업
79	119650	KOSPI	KC코트렐	일반 목적용 기계 제조업
80	044180	KOSDAQ	KD	건물 건설업
81	092220	KOSPI	KEC	반도체 제조업
82	151860	KOSDAQ	KG ETS	폐기물 처리업
83	016380	KOSPI	KG동부제철	1차 철강 제조업
84	046440	KOSDAQ	KG모빌리언스	소프트웨어 개발 및 공급업
85	035600	KOSDAQ	KG이니시스	소프트웨어 개발 및 공급업
86	001390	KOSPI	KG케미칼	기초 화학물질 제조업
87	060720	KOSDAQ	KH바텍	전자부품 제조업
88	001940	KOSPI	KISCO홀딩스	1차 철강 제조업
89	122450	KOSDAQ	KMH	텔레비전 방송업
90	052900	KOSDAQ	KMH하이텍	플라스틱제품 제조업
